1000000,x2018bdr,0,2020-01-31,TECH,L,3FxKHb4BP5uT3As60GCGmXM1lFOkSGWibcTnVg5oCE2ZiewvFowoN30Zsmkq,OLIV,decent
1000001,x2018avm,68.00 ,2019-09-19,TECH,B,XNS5rQDnFnlId41Kj5GP1tEkm3PXXYdGkgX5XXXOIk0fbHmePstHy4bAsBlG,YELL,new
1000002,x2015ash,0,2019-03-14,TECH,L,nsLxs5WLnLH3TsFSt7mum6tZ2Px8TuB3r1EHwpJsaGWY8XF0hwG0kXjBnU2g,GREE,new
1000003,x2018axx,88.00 ,2019-04-02,TECH,B,OmXpwck7SdtVk2oIBSWlRVijxPFrvNsgmScQWN2KVpYWIeuwxjQuRO2zVWYM,AQUA,decent
1000004,x2018all,0,2019-04-28,TECH,L,PsJWeDthADei7ZBxH3mr9uDDQ3uBtV3QtnPJnNW5SDw9nrIrllDXcdCJJLn1,PURP,used
1000005,x2019bcz,39.00 ,2019-09-26,TECH,B,plsmj9AFHsQ5lkaUoAmvE4h2cCkGPO0OLnhMQuHwhWvsRaG1qcIsrhqfZIuC,ORAN,poor
1000006,x2017ake,0,2019-10-02,TECH,L,XVFBtABoZ1kQ2tCLnX9H68O3ckJWRFdsd0ayHofGwVKZUktVSYOKa3pCJPzk,AQUA,new
1000007,x2015bmj,27.00 ,2019-08-25,TECH,B,67O7RPE4j4ANSKFy8cc7sqrLg7fjjfTbu5ZH6Dxbb6fCZsIboXIWhhHUqMRx,OLIV,decent
1000008,x2016bbp,0,2019-11-19,TECH,L,zKrZa0UK3rqRXkOWuwNauMqOpd4RLv48NbmI4BxIqjPvHyaPdstB1du62zEQ,GREY,new
1000009,x2018acf,78.00 ,2019-05-23,TECH,B,IQBRkuXRdu0Iru1KUOLtXl7dNQ3mbuhaAorbFoE1m0Plf3BXtjeBF3lIdtut,INDI,mint
1000010,x2014ars,0,2019-03-22,TECH,L,fDjUqsHjUQUZzDlaASGMZJgGEqErTYHBTZcd01T9mrRFuF5N6G8OOnqUKsjX,YELL,used
1000011,x2019atq,26.00 ,2020-02-28,TECH,B,o2u5BgI6doYcW0ARqKsZSzRGK00cSywIG5ZM5IvQUHhoOlFCWLXBZS6lhmeN,MARO,mint
1000012,x2015ans,0,2019-08-03,TECH,L,XfAgrWjoBFQSfn9Gz2oH9QJwkPHLGzL1gFLSd57IWTpy4ex8Y9FZlhsx9W1B,INDI,mint
1000013,x2015aku,75.00 ,2019-05-25,TECH,B,JGf1XW6hawG0iheJ6oxRSmKG0zCjKXM1vVWb4uWaqiCKTnBYGJDwTcHQDh6e,ORAN,mint
1000014,x2016ask,0,2019-04-26,TECH,L,10CNnwumGtp2FdR7lLPZTWESkl0EKNCfPzFClj9VDpXKe1EL07bv4tMlbZ1m,NAVY,decent
1000015,x2017apw,109.00 ,2019-06-04,TECH,B,h0vo6iDsEA8vfEwGOsU4i2cXjORov3AzcfhZ4oUWpy6fc5AFX9DFrMcyn2DR,GOLD,poor
1000016,x2017bgg,0,2019-12-14,TECH,L,miDrBEnzxTzKK3hWrT9vGAg7iivvLoFyDc2drmk8lniH2Zqbgsw9eO8OzNO4,MARO,mint
1000017,x2017bgb,53.00 ,2019-10-26,TECH,B,9WEMbdFP3JXMA3wc2uAMN5OrVrdu9QsQwcWixTaNVgJd4LlMA1JtccDt2Jjq,BLUE,new
1000018,x2019beb,0,2019-06-03,TECH,L,ufCpbSlpEZERODqPs8iMMVNRpxczrdsNGEIFq40s8epknKMeSQn24Gb04DEQ,NAVY,mint
1000019,x2018axx,21.00 ,2019-06-27,TECH,B,ErxD734rEjvP6jjBa2SmUty0xdKySsnppY5TBj1MJI8VzfmjXoB9wnDINewt,NAVY,new
1000020,x2018axl,0,2019-12-28,TECH,L,9LjxbNJWLIRZAdq2mOPt28iGEOQAtn8W09IMATsloRjBsKB04eoD8cEORtLO,RED,mint
1000021,x2019atj,90.00 ,2019-06-17,TECH,B,NoJC307sTKVp2kdgti9VzDLO3xjScxn6RnKBxxfsp2za6Zkf6WTZ8tVx8JxL,SILV,new
1000022,x2017agq,0,2019-10-12,TECH,L,46f5PTkvvpQl8634jncWfM3IGfnMQzdP6KYEwlUGmc5JvXtJB944IyeIli6G,ORAN,mint
1000023,x2017azc,102.00 ,2019-06-29,TECH,B,RWyUPBaShUMBNUj1vdlZ3lpD9McLAm9X9B85zOPID62nwhOlRweGSXmeH7sy,YELL,new
1000024,x2016anw,0,2019-10-29,TECH,L,p2VICwAInbEQhcCtE7QVb9sVZjlVjkELxvVthYKhSUF247hL6eFGGedXN8w9,PINK,poor
1000025,x2016anf,27.00 ,2019-12-16,TECH,B,Ub4PWdFvBeljlP1IQUJcjRO1fAy5UApG05CDud6JAq9C5KFibCtb9TqFcWAB,GREY,used
1000026,x2020bkq,0,2019-10-30,TECH,L,7Po8O4Z5xvjuTlQlyX54trH9tmKj34NEwUEH4sEfH5RY6RPgMDdmVhSfoQVt,ORAN,decent
1000027,x2014asn,51.00 ,2019-10-04,TECH,B,8qAHYN7Zup9rkn7FdIHokNJohBVc1rfkxZXCG7SJhzJNtEOwQfDaHRQHVU5T,PINK,mint
1000028,x2019aec,0,2019-09-04,TECH,L,tFuQ4eb0Fn7AiosJA32z2HaEZ9wfINRBmZ4GqUiLoFAGVMZEbxJ4bb7nhPNi,BLAC,decent
1000029,x2016bdl,32.00 ,2019-04-03,TECH,B,7m3coDgTl4uZ4bIAPYzyIJQ8bA7PdAu96r0HxegJXporYETdnkSuOrLB0Z0p,AQUA,mint
1000030,x2014bjx,0,2019-03-17,TECH,L,DukeahPQXQfntZn67leig2iaKw0oSztX6At4kt8Ws8G4BEigYDiqXtMh6rKD,TEAL,used
1000031,x2015alp,107.00 ,2020-03-06,TECH,B,S1JgEdfZhd6yHrQFU4ka4w72ROROoaorC8OQFOoxJCf6z3k8SYAsztgXwDd5,NAVY,used
