1899180,BB&T Corp.,(902)133-5233,BB&T Corp.@email.ca,"Hamilton,ONL8E6H01AirportStreet",CLOT
3440578,Qurate Retail,(902)242-5120,Qurate Retail@email.ca,"QueensCounty,NSB0T0L851PiperStreet",TEXT
6010933,Yum Brands,(902)633-1540,Yum Brands@email.ca,"NewGlasgow,NSB2H6R17005S.BrandywineDrive",MUSI
3219423,UnitedHealth Group,(902)245-5318,UnitedHealth Group@email.ca,"Collingwood,ONL9Y4K733LindaSt.",MUSI
9876444,Newmont Goldcorp,(902)967-1209,Newmont Goldcorp@email.ca,"Courtice,ONL1E5G58973WestMilesAve.",CLOT
3044221,World Fuel Services,(902)376-3792,World Fuel Services@email.ca,"Athabasca,ABT9S6Y4886WakehurstSt.",SPOR
7711922,Boeing,(902)860-8207,Boeing@email.ca,"7569YoungLaneWhiteRock,BCV4B7H9",MUSI
6790488,Wynn Resorts,(902)219-2976,Wynn Resorts@email.ca,"Albanel,QCG8M5B69HawthorneSt.",SPOR
4516429,Charles Schwab,(902)219-3000,Charles Schwab@email.ca,"Lepreau,NBE5J0E3486UnionStreet",TECH
9260620,Discover Financial Services,(902)338-9035,Discover Financial Services@email.ca,"R'e9giond'Oka,QCJ0N2J4313CreekDr.",CLOT
2522134,Synnex,(902)941-4342,Synnex@email.ca,"HantsCounty,NSB0N8H5764SnakeHillDrive",HOME
9206963,Navient,(902)415-1941,Navient@email.ca,"Saint-Quentin,NBE8A0A261AndoverAve.",TECH
4643010,Intel,(902)314-1378,Intel@email.ca,"Perth,ONK7H3A5636ChestnutSt.",TEXT
8380960,Harris,(902)429-9634,Harris@email.ca,"Carbonear,LBA1Y5H172ParkerDr.",SPOR
8439047,Pioneer Natural Resources,(902)743-5979,Pioneer Natural Resources@email.ca,"Torbay,LBA1K2E09812E.3rdAve.",MUSI
4891274,MasTec,(902)602-8198,MasTec@email.ca,"HantsCounty,NSB0N8H5764SnakeHillDrive",TECH
7253460,Prudential Financial,(902)998-1291,Prudential Financial@email.ca,"Maple,ONL6A0N79569CemeteryAve.",TEXT
