1899180,BB&T Corp.,Hamilton,ONL8E6H01AirportStreet,CLOT
3440578,Qurate Retail,QueensCounty,NSB0T0L851PiperStreet,TEXT
6010933,Yum Brands,NewGlasgow,NSB2H6R17005S.BrandywineDrive,MUSI
3219423,UnitedHealth Group,Collingwood,ONL9Y4K733LindaSt.,MUSI
9876444,Newmont Goldcorp,Courtice,ONL1E5G58973WestMilesAve.,CLOT
3044221,World Fuel Services,Athabasca,ABT9S6Y4886WakehurstSt.,SPOR
7711922,Boeing,7569YoungLaneWhiteRock,BCV4B7H9,MUSI
6790488,Wynn Resorts,Albanel,QCG8M5B69HawthorneSt.,SPOR
4516429,Charles Schwab,Lepreau,NBE5J0E3486UnionStreet,TECH
9260620,Discover Financial Services,R'e9giond'Oka,QCJ0N2J4313CreekDr.,CLOT
2522134,Synnex,HantsCounty,NSB0N8H5764SnakeHillDrive,HOME
9206963,Navient,Saint-Quentin,NBE8A0A261AndoverAve.,TECH
4643010,Intel,Perth,ONK7H3A5636ChestnutSt.,TEXT
8380960,Harris,Carbonear,LBA1Y5H172ParkerDr.,SPOR
8439047,Pioneer Natural Resources,Torbay,LBA1K2E09812E.3rdAve.,MUSI
4891274,MasTec,HantsCounty,NSB0N8H5764SnakeHillDrive,TECH
7253460,Prudential Financial,Maple,ONL6A0N79569CemeteryAve.,TEXT
9309476,CSX,Boiestown,NBE6A4C48592S.RidgeviewStreet,HOME
6553498,NextEra Energy,725CarriageCircleDoaktown,NBE9C8T4,TECH
7525405,Principal Financial,LaSarre,QCJ9Z5N33GlenholmeCourt,TECH
6242372,United Technologies,YoungsCove,NBE4C9R753EdgewoodSt.,MISC
9671236,WestRock,Coverdale,NBE1J6E2170EastGartnerAve.,SPOR
5409168,Comcast,Laterri'e8re,QCG7N4R11GrandStreet,HOME
8131525,AbbVie,DeerIsland,NBE5V7G371LivingstonSt.,TEXT
9516457,Cardinal Health,LaBaie,QCG7B7N28861DepotSt.,SPOR
2209541,Cintas,7526AddisonStreetGagetown,NBE5M9S2,TECH
9336494,Ascena Retail Group,530WestTalbotDriveKentville,NSB4N5E6,CLOT
1908154,Ulta Beauty,530WestTalbotDriveKentville,NSB4N5E6,MISC
8240037,Walt Disney,Gasp'e9sie-Sud,QCG0C8B8718LeatherwoodSt.,HOME
9755210,ABM Industries,LaBaie,QCG7B7N28861DepotSt.,MISC
2372139,Oracle,CampobelloIsland,NBE5E7V99933GreenviewSt.,MISC
7772895,Nationwide,Gananoque,ONK7G8R58044LoganStreet,MUSI
4502990,Arrow Electronics,CampobelloIsland,NBE5E7V99933GreenviewSt.,TEXT
7931325,Broadcom,Nepean,ONK2G5X2735PendergastStreet,MISC
6182439,Estee Lauder,Perth,ONK7H3A5636ChestnutSt.,SPOR
8215168,Republic Services,DufferinCounty,ONL0N0L985CrescentLane,TECH
9646433,Levi Strauss,Maple,ONL6A0N79569CemeteryAve.,MISC
4177283,Cisco Systems,91OverlookAve.Saint-Antoine,NBE4V9J8,SPOR
7944043,Starbucks,747WoodlandAve.St.George,NBE5C9X3,SPOR
8656955,Liberty Media,51ArcadiaSt.Debec,NBE7N7L2,CLOT
5223476,Sanmina,Saint-Prime,QCG8J3T59407LongfellowSt.,HOME
9551044,FedEx,Cap-Rouge,QCG1Y8A4169EastValleyViewSt.,TEXT
8412636,Celgene,692ThirdDr.Selkirk,MBR1A9S4,HOME
6968042,Activision Blizzard,62RidgeStreetBoucherville,QCJ4B5S2,CLOT
4959266,AIG,'celes-Laval,QCH7Y5B648AndoverStreet,HOME
7449054,C.H. Robinson Worldwide,Bromont,QCJ2L7R5874WestBohemiaRd.,TECH
9693292,Goodyear Tire & Rubber,42PrimroseSt.Chelsea,QCJ9B6T4,TEXT
3213834,PNC Financial Services,LaSarre,QCJ9Z5N33GlenholmeCourt,SPOR
5546519,Wells Fargo,ChristmasIsland,NSB1T9G077CoffeeDr.,TEXT
3453554,StFX,990StNinians,NSB2G1b1,
,,,,
,,,,
,,,,
,,,,
,, ,,
