7333442,507099409,"$45,646.55 ",12/14/2019,Lamiaceae,S,clockworks,scrounging
7770590,549023317,"$52,470.86 ",2/10/2020,Asteraceae,L,calculator,footprints
5261059,305227533,"$84,852.56 ",5/16/2019,Thelotremataceae,F,roughening,applicants
3831181,411048649,"$15,445.57 ",3/23/2019,Liliaceae,S,historians,aperture's
9982087,413691385,"$68,108.17 ",2/29/2020,Cactaceae,S,increase's,backlash's
8487569,972910958,"$75,329.28 ",2/20/2020,Combretaceae,L,convulsing,endowments
5930622,850464539,"$5,925.73 ",6/27/2019,Ericaceae,B,colonizing,positioned
568755,108643601,"$19,744.88 ",4/29/2019,Fabaceae,S,overheated,hereabouts
9442136,94572671,"$74,836.80 ",9/2/2019,Dryopteridaceae,S,embittered,satirist's
1390474,267603736,"$41,125.51 ",6/2/2019,Brachytheciaceae,S,transplant,unreadable
5142421,819702995,"$4,803.48 ",9/30/2019,Fabaceae,B,salesman's,intercom's
8116342,461735863,"$70,088.36 ",5/7/2019,Rubiaceae,L,recuperate,signpost's
1124499,972059380,"$20,021.31 ",5/7/2019,Saxifragaceae,L,pyramiding,gymnasiums
196598,811707714,"$61,254.23 ",4/23/2019,Brassicaceae,F,aggravates,domiciling
6995749,706353576,"$40,463.69 ",1/31/2020,Rubiaceae,S,response's,tourniquet
346421,912091213,"$75,621.64 ",2/17/2020,Cyperaceae,B,chaperones,pullover's
5987074,983272749,"$84,365.65 ",11/9/2019,Poaceae,B,sculptures,empowering
633729,915557126,"$8,298.13 ",3/4/2019,Chenopodiaceae,B,distorting,masculines
5341656,788762436,"$21,606.17 ",5/6/2019,Smilacaceae,B,moonbeam's,trespasser
1215595,261867998,"$88,194.97 ",4/24/2019,Dicranaceae,S,overcrowds,flapjack's
7162051,749433463,"$27,677.20 ",7/2/2019,Poaceae,L,recorder's,propelling
167781,970683284,"$36,911.26 ",3/26/2019,Asteraceae,S,specimen's,porpoising
2676247,934915832,"$77,744.00 ",4/8/2019,Asteraceae,S,autographs,whirlwinds
3883593,57006856,"$59,780.92 ",10/9/2019,Poaceae,S,caricature,obtainable
4736015,239278147,"$12,489.37 ",12/8/2019,Gunneraceae,B,tactlessly,saintliest
2774791,361089405,"$93,381.00 ",2/3/2020,Ericaceae,B,protractor,foundation
1726746,885733798,"$37,011.87 ",7/10/2019,Verbenaceae,B,intriguing,affordable
7901807,771346609,"$53,630.14 ",4/2/2019,Dennstaedtiaceae,S,mortuaries,inferences
1107973,613496888,$449.97 ,4/4/2019,Sarraceniaceae,L,formalized,earthworms
3589194,924608412,"$95,589.71 ",8/28/2019,Verbenaceae,S,instance's,mechanized
5512282,859859108,"$72,123.58 ",9/10/2019,Asteraceae,S,headlining,machinists
1841828,875006466,"$21,428.96 ",12/27/2019,Rutaceae,L,microfiche,typewriter
9254566,128165132,"$30,810.57 ",1/9/2020,Hydrangeaceae,S,humorist's,discredits
2022737,552920602,"$56,642.06 ",5/7/2019,Poaceae,F,psychiatry,banister's
1573057,382928311,"$98,485.59 ",10/3/2019,Chenopodiaceae,S,possession,radiance's
8622133,450396104,"$2,199.32 ",11/3/2019,Acanthaceae,S,daydreamed,catechisms
4160737,683191568,"$90,024.81 ",1/8/2020,Lamiaceae,L,dictionary,portrayals
2488677,588311314,"$29,276.91 ",8/21/2019,Arthopyreniaceae,B,protestant,indelicate
3978135,110374449,"$48,377.03 ",6/7/2019,Hydrangeaceae,B,injustices,inferences
