38416,4130091234,2003
00755,1905051798,2003
04320,4458410591,2011
34512,5053517278,2008
39007,2109405904,1993
58023,7771017977,2009
64644,3365471531,2013
83054,8809262576,2012
37483,9995936981,2002
97247,0457042203,1992
24796,3021815926,2000
21267,8547624892,2009
58243,3466715852,1998
02441,9593056828,2000
08244,6066831130,1999
53407,0619018282,1995
02682,0001236614,1986
64836,6162550811,2000
63694,3321751349,1993
16617,7116293301,2007
27168,7793248830,1998
57991,4832658568,2008
91306,1876970798,1993
91329,3922062736,1994
97832,1056690870,2012
69396,0146701014,1994
23449,1440235597,2008
71808,4080522315,2008
19350,3620137381,1988
11416,5275282641,2007
40272,6181828537,1997
16218,9603791423,1992
96573,3479111541,2011
83956,9937738152,1997
80538,5254362550,2001
99085,5389202315,1993
61757,8358730583,1998
46799,8592241753,1997
91420,6393922806,1997
31055,2774683322,1991
99849,7778815798,2010
73098,9143613555,2003
22970,8741170558,2004
42208,7550869181,1990
31773,6401842733,2005
84674,9717439792,1999
18800,0644562951,2001
15166,7433209882,2008
16037,0806351920,2008
19306,3269402422,1998
47785,8832664403,2008
61135,9180145494,2005
24440,0984578469,1992
87867,0679373294,1990
79934,8937978622,2001
24285,9242849500,2010
44682,5876317866,2006
22424,7141984809,2009
94327,4259622998,1992
62733,4338204758,2002
54930,5304087500,2011
26415,8405280406,1995
82760,1945852330,2011
51398,4181951411,2008
36875,3474036512,2008
35685,8809646714,1999
50254,8061321037,1992
42074,2492600143,2002
27684,4421854770,2006
59707,8322150597,2002
70189,5064767083,2008
65473,4036208548,2008
53952,0257421060,2005
30741,4815629135,1984
55732,6371460952,2001
44018,6643961752,1998
67722,7510563451,2013
08295,3694689106,1982
35402,9453066954,1999
92281,3034360867,2000
22421,2870257121,2006
93632,2022404746,2012
19089,8491413226,1992
42891,0722340177,2009
59607,2160796790,2002
94411,5938948577,2008
77205,0441096726,1999
44227,2922790485,1985
11773,5509405004,2009
51514,8494468045,1990
77953,0792307076,2012
80771,2657789596,2007
22635,1404189612,2001
14518,6662156960,1993
79703,1859373343,1994
70671,3602690738,1987
12166,5574332592,1993
96551,3414765627,2006
70255,4302591424,2000
68426,2513830732,2001
94157,7427724793,1985
34503,8582474543,1990
58552,7071701215,2006
19640,8809155847,2012
17582,5677199166,1987
47569,6702586384,2001
77386,7284908859,2005
30420,4484069241,2012
